student_id,timestamp,time_of_day,app_category,duration_minutes,is_class_time,is_study_period,is_late_night,hours_to_deadline,task_priority,assignment_count,notification_count,unlock_count,procrastination_level
24522824,2026-05-09 02:55:41,Night,Social,31,0,0,1,140.33,Medium,2,17,4,Low
24522824,2026-05-09 04:53:41,Night,Gaming,55,0,0,1,138.37,High,0,12,11,High
24522824,2026-05-09 07:50:41,Morning,System,5,0,0,0,135.42,Low,3,2,3,Low
24522824,2026-05-09 09:26:41,Morning,Entertainment,34,0,1,0,133.82,Low,4,14,4,High
24522824,2026-05-09 11:30:41,Morning,Social,19,0,0,0,131.75,Low,3,16,1,Low
24522824,2026-05-09 12:43:41,Afternoon,System,11,0,0,0,130.53,Low,4,4,1,Low
24522824,2026-05-09 13:18:41,Afternoon,Social,8,0,0,0,129.95,High,0,15,1,Low
24522824,2026-05-09 13:51:41,Afternoon,System,9,0,0,0,129.4,High,1,4,6,Low
24522824,2026-05-09 15:45:41,Afternoon,Productivity,27,0,1,0,127.5,Medium,0,6,1,Low
24522824,2026-05-09 16:37:41,Afternoon,Gaming,61,0,0,0,126.63,Medium,3,20,7,Medium
24522824,2026-05-09 18:00:41,Evening,Gaming,59,0,0,0,125.25,High,4,6,10,High
24522824,2026-05-09 20:59:41,Evening,Productivity,32,0,1,0,122.27,Medium,0,3,8,Low
24522824,2026-05-09 23:37:41,Night,Entertainment,56,0,0,1,119.63,Low,2,23,4,Medium
24522824,2026-05-10 00:01:41,Night,Social,31,0,0,1,119.23,Medium,4,16,1,High
24522824,2026-05-10 00:51:41,Night,Social,14,0,0,1,118.4,Medium,1,22,1,High
24522824,2026-05-10 01:18:41,Night,Gaming,44,0,0,1,117.95,Medium,1,8,7,Medium
24522824,2026-05-10 03:11:41,Night,Social,33,0,0,1,116.07,High,1,28,1,High
24522824,2026-05-10 05:49:41,Morning,Productivity,27,0,0,0,113.43,Medium,3,8,1,Low
24522824,2026-05-10 08:47:41,Morning,Productivity,30,0,0,0,110.47,Medium,2,7,4,Low
24522824,2026-05-10 09:49:41,Morning,Productivity,18,0,1,0,109.43,Medium,1,6,3,Low
24522824,2026-05-10 12:44:41,Afternoon,Gaming,97,0,0,0,106.52,Medium,0,14,8,Medium
24522824,2026-05-10 12:56:41,Afternoon,Productivity,15,0,0,0,106.32,High,0,8,5,Low
24522824,2026-05-10 13:24:41,Afternoon,Productivity,34,0,0,0,105.85,Medium,1,7,6,Low
24522824,2026-05-10 15:03:41,Afternoon,System,8,0,0,0,104.2,Medium,1,1,1,Low
24522824,2026-05-10 17:05:41,Evening,Entertainment,43,0,0,0,102.17,High,4,13,6,High
24522824,2026-05-10 20:02:41,Evening,Gaming,60,0,0,0,99.22,Medium,5,16,6,High
24522824,2026-05-10 20:38:41,Evening,Entertainment,57,0,1,0,98.62,Low,0,8,3,High
24522824,2026-05-10 23:09:41,Night,Social,26,0,0,1,96.1,Medium,1,24,4,Medium
24522824,2026-05-11 00:46:41,Night,Social,17,0,0,1,94.48,Medium,2,8,1,Medium
24522824,2026-05-11 03:05:41,Night,Gaming,64,0,0,1,92.17,High,0,6,8,High
24522824,2026-05-11 03:38:41,Night,Productivity,16,0,0,1,91.62,High,0,6,2,Low
24522824,2026-05-11 03:48:41,Night,Social,35,0,0,1,91.45,Low,2,23,7,High
24522824,2026-05-11 04:39:41,Night,Entertainment,17,0,0,1,90.6,Medium,3,6,3,Medium
24522824,2026-05-11 07:12:41,Morning,Social,37,0,0,0,88.05,High,4,46,6,High
24522824,2026-05-11 07:31:41,Morning,Productivity,34,1,0,0,87.73,Low,2,8,3,Low
24522824,2026-05-11 09:14:41,Morning,Entertainment,29,0,0,0,86.02,Low,1,10,2,Low
24522824,2026-05-11 12:14:41,Afternoon,Social,64,0,0,0,83.02,High,3,8,10,Medium
24522824,2026-05-11 15:02:41,Afternoon,System,7,1,1,0,80.22,High,1,5,1,Low
24522824,2026-05-11 16:57:41,Afternoon,Entertainment,30,1,0,0,78.3,High,5,14,1,High
24522824,2026-05-11 18:10:41,Evening,Social,30,0,0,0,77.08,High,0,14,10,Medium
24522824,2026-05-11 19:57:41,Evening,Entertainment,5,0,0,0,75.3,Low,3,11,1,Medium
24522824,2026-05-11 21:36:41,Evening,Gaming,44,0,0,0,73.65,Low,0,9,7,Medium
24522824,2026-05-12 00:34:41,Night,Social,11,0,0,1,70.68,Medium,0,16,1,Low
24522824,2026-05-12 01:55:41,Night,Gaming,95,0,0,1,69.33,Medium,5,14,8,High
24522824,2026-05-12 04:22:41,Night,Social,61,0,0,1,66.88,Low,2,28,3,Medium
24522824,2026-05-12 05:17:41,Morning,Productivity,37,0,0,0,65.97,High,0,4,5,Low
24522824,2026-05-12 05:54:41,Morning,Productivity,15,0,0,0,65.35,Medium,2,5,1,Low
24522824,2026-05-12 07:55:41,Morning,Productivity,22,1,0,0,63.33,Medium,2,2,7,Low
24522824,2026-05-12 08:16:41,Morning,Social,23,0,1,0,62.98,High,5,20,7,High
24522824,2026-05-12 09:16:41,Morning,Social,47,1,1,0,61.98,Medium,0,20,2,High
24522824,2026-05-12 10:42:41,Morning,Entertainment,48,1,1,0,60.55,Medium,1,9,6,High
24522824,2026-05-12 12:39:41,Afternoon,Productivity,26,0,0,0,58.6,Medium,5,8,8,Low
24522824,2026-05-12 13:33:41,Afternoon,Gaming,102,1,0,0,57.7,Low,2,5,12,High
24522824,2026-05-12 14:36:41,Afternoon,Productivity,27,1,1,0,56.65,Medium,1,4,2,Low
24522824,2026-05-12 16:56:41,Afternoon,System,7,0,1,0,54.32,Low,4,5,1,Low
24522824,2026-05-12 19:55:41,Evening,Productivity,33,0,1,0,51.33,High,1,7,6,Low
24522824,2026-05-12 21:24:41,Evening,Social,17,0,1,0,49.85,Low,1,14,4,High
24522824,2026-05-12 23:35:41,Night,Productivity,24,0,0,1,47.67,High,3,6,6,Low
24522824,2026-05-13 01:31:41,Night,Entertainment,55,0,0,1,45.73,Medium,5,11,6,High
24522824,2026-05-13 03:19:41,Night,Gaming,76,0,0,1,43.93,Low,5,15,13,High
24522824,2026-05-13 03:30:41,Night,Entertainment,58,0,0,1,43.75,High,0,11,8,High
24522824,2026-05-13 05:28:41,Morning,Social,31,0,0,0,41.78,High,5,23,1,High
24522824,2026-05-13 07:50:41,Morning,Productivity,14,0,0,0,39.42,Low,1,2,5,Low
24522824,2026-05-13 09:58:41,Morning,System,13,1,0,0,37.28,High,4,4,1,Low
24522824,2026-05-13 12:17:41,Afternoon,Productivity,25,0,0,0,34.97,High,3,4,6,Low
24522824,2026-05-13 13:07:41,Afternoon,Productivity,16,1,0,0,34.13,Low,5,4,3,Low
24522824,2026-05-13 14:27:41,Afternoon,Productivity,16,1,1,0,32.8,Low,2,6,2,Low
24522824,2026-05-13 15:37:41,Afternoon,Gaming,50,1,1,0,31.63,Low,5,11,1,High
24522824,2026-05-13 16:26:41,Afternoon,Social,19,1,1,0,30.82,Medium,1,17,3,High
24522824,2026-05-13 18:23:41,Evening,Gaming,77,0,0,0,28.87,High,5,11,9,High
24522824,2026-05-13 18:38:41,Evening,Entertainment,44,0,0,0,28.62,High,3,10,6,High
24522824,2026-05-13 20:50:41,Evening,Social,37,0,1,0,26.42,High,3,30,4,High
24522824,2026-05-13 23:17:41,Night,Productivity,31,0,0,1,23.97,Medium,4,5,4,Low
24522824,2026-05-14 00:23:41,Night,Productivity,25,0,0,1,22.87,Medium,3,3,3,Low
24522824,2026-05-14 00:40:41,Night,Gaming,89,0,0,1,22.58,Medium,3,16,17,High
24522824,2026-05-14 01:32:41,Night,Entertainment,62,0,0,1,21.72,High,4,14,14,High
24522824,2026-05-14 03:58:41,Night,Social,17,0,0,1,19.28,Medium,4,14,1,High
24522824,2026-05-14 06:57:41,Morning,Social,18,0,0,0,16.3,Medium,1,19,3,High
24522824,2026-05-14 09:05:41,Morning,Gaming,79,1,1,0,14.17,Medium,3,9,7,High
24522824,2026-05-14 10:26:41,Morning,Entertainment,18,1,1,0,12.82,Low,4,20,5,High
24522824,2026-05-14 10:49:41,Morning,Gaming,25,1,0,0,12.43,Medium,0,14,2,High
24522824,2026-05-14 12:02:41,Afternoon,Social,6,0,0,0,11.22,Low,1,14,1,Medium
24522824,2026-05-14 13:13:41,Afternoon,Entertainment,35,1,0,0,10.03,Low,5,14,1,High
24522824,2026-05-14 14:28:41,Afternoon,Social,31,1,1,0,8.78,Low,1,23,6,High
24522824,2026-05-14 15:57:41,Afternoon,Social,6,1,1,0,7.3,High,3,27,1,High
24522824,2026-05-14 16:57:41,Afternoon,Entertainment,76,1,1,0,6.3,High,5,14,13,High
24522824,2026-05-14 19:40:41,Evening,Entertainment,86,0,0,0,3.58,Medium,0,23,10,High
24522824,2026-05-14 21:18:41,Evening,Productivity,31,0,1,0,1.95,Low,5,10,1,Low
24522824,2026-05-14 22:55:41,Night,Social,45,0,0,1,0.33,Medium,3,7,2,Medium
24521409,2026-05-08 02:07:41,Night,Entertainment,39,0,0,1,124.13,Medium,1,15,9,Medium
24521409,2026-05-08 04:08:41,Night,Social,54,0,0,1,122.12,Medium,5,11,1,High
24521409,2026-05-08 05:27:41,Morning,Productivity,28,0,0,0,120.8,High,3,6,1,Low
24521409,2026-05-08 07:36:41,Morning,Entertainment,18,1,0,0,118.65,High,0,14,3,High
24521409,2026-05-08 08:57:41,Morning,Social,22,1,1,0,117.3,Medium,0,11,2,High
24521409,2026-05-08 11:13:41,Morning,System,5,0,0,0,115.03,Low,1,4,1,Low
24521409,2026-05-08 12:53:41,Afternoon,Entertainment,42,0,0,0,113.37,Medium,4,6,3,Low
24521409,2026-05-08 14:13:41,Afternoon,Productivity,44,1,1,0,112.03,Medium,4,7,3,Low
24521409,2026-05-08 15:24:41,Afternoon,Productivity,23,1,0,0,110.85,Low,1,5,4,Low
24521409,2026-05-08 17:17:41,Evening,Productivity,19,0,0,0,108.97,Medium,4,4,1,Low
24521409,2026-05-08 19:01:41,Evening,Gaming,29,0,1,0,107.23,Medium,5,14,8,High
24521409,2026-05-08 21:31:41,Evening,Gaming,71,0,1,0,104.73,Medium,2,12,18,High
24521409,2026-05-08 22:40:41,Night,Social,28,0,0,1,103.58,Low,0,12,1,Medium
24521409,2026-05-09 01:07:41,Night,System,6,0,0,1,101.13,Medium,1,0,1,Low
24521409,2026-05-09 02:12:41,Night,Entertainment,78,0,0,1,100.05,Medium,4,18,9,High
24521409,2026-05-09 04:36:41,Night,Gaming,61,0,0,1,97.65,High,1,7,12,High
24521409,2026-05-09 06:01:41,Morning,Social,14,0,0,0,96.23,Low,0,17,1,Low
24521409,2026-05-09 08:27:41,Morning,Social,43,0,0,0,93.8,Low,0,33,1,Medium
24521409,2026-05-09 10:58:41,Morning,Gaming,46,0,0,0,91.28,Medium,3,8,3,Low
24521409,2026-05-09 11:34:41,Morning,System,10,0,0,0,90.68,Medium,3,1,2,Low
24521409,2026-05-09 13:46:41,Afternoon,Productivity,22,0,0,0,88.48,Low,0,3,1,Low
24521409,2026-05-09 15:00:41,Afternoon,System,12,0,0,0,87.25,High,3,1,1,Low
24521409,2026-05-09 17:15:41,Evening,Social,4,0,0,0,85.0,Medium,0,22,1,Low
24521409,2026-05-09 18:03:41,Evening,Social,18,0,0,0,84.2,Medium,2,6,1,Low
24521409,2026-05-09 18:34:41,Evening,System,11,0,0,0,83.68,Low,3,1,3,Low
24521409,2026-05-09 21:19:41,Evening,Productivity,24,0,0,0,80.93,High,3,2,1,Low
24521409,2026-05-09 23:24:41,Night,Entertainment,27,0,0,1,78.85,Medium,4,9,6,Medium
24521409,2026-05-10 01:23:41,Night,Social,42,0,0,1,76.87,Medium,4,12,6,High
24521409,2026-05-10 01:58:41,Night,Entertainment,5,0,0,1,76.28,Low,1,6,2,Low
24521409,2026-05-10 03:15:41,Night,Productivity,28,0,0,1,75.0,Low,1,4,3,Low
24521409,2026-05-10 05:46:41,Morning,Social,47,0,0,0,72.48,Low,3,22,6,Medium
24521409,2026-05-10 08:28:41,Morning,Productivity,20,0,0,0,69.78,Low,2,4,3,Low
24521409,2026-05-10 09:50:41,Morning,Entertainment,50,0,0,0,68.42,Medium,2,22,8,Medium
24521409,2026-05-10 12:40:41,Afternoon,Productivity,37,0,0,0,65.58,High,1,5,1,Low
24521409,2026-05-10 14:38:41,Afternoon,Social,2,0,0,0,63.62,Low,1,15,1,Medium
24521409,2026-05-10 15:56:41,Afternoon,Entertainment,51,0,1,0,62.32,Low,2,11,8,Medium
24521409,2026-05-10 18:38:41,Evening,Productivity,27,0,0,0,59.62,Medium,2,8,1,Low
24521409,2026-05-10 20:40:41,Evening,Social,35,0,0,0,57.58,Medium,2,16,6,High
24521409,2026-05-10 22:58:41,Night,Gaming,63,0,0,1,55.28,Medium,4,12,6,High
24521409,2026-05-10 23:18:41,Night,Entertainment,61,0,0,1,54.95,High,4,8,7,High
24521409,2026-05-11 00:32:41,Night,Social,37,0,0,1,53.72,Low,5,22,7,High
24521409,2026-05-11 03:09:41,Night,Gaming,54,0,0,1,51.1,Low,5,6,5,High
24521409,2026-05-11 04:27:41,Night,Gaming,75,0,0,1,49.8,High,1,8,11,High
24521409,2026-05-11 06:37:41,Morning,Productivity,29,0,0,0,47.63,Medium,2,12,1,Low
24521409,2026-05-11 07:33:41,Morning,Productivity,7,0,0,0,46.7,High,3,9,2,Low
24521409,2026-05-11 09:12:41,Morning,Gaming,65,1,1,0,45.05,Medium,3,6,15,High
24521409,2026-05-11 10:35:41,Morning,Productivity,26,0,1,0,43.67,Low,2,8,4,Low
24521409,2026-05-11 12:07:41,Afternoon,Social,18,0,0,0,42.13,High,4,22,7,High
24521409,2026-05-11 12:17:41,Afternoon,Productivity,40,0,0,0,41.97,Medium,3,5,2,Low
24521409,2026-05-11 12:40:41,Afternoon,Social,30,0,0,0,41.58,Medium,3,27,1,High
24521409,2026-05-11 15:30:41,Afternoon,Social,27,1,1,0,38.75,Medium,5,16,1,High
24521409,2026-05-11 17:44:41,Evening,Social,42,0,0,0,36.52,High,4,20,1,Medium
24521409,2026-05-11 18:55:41,Evening,Productivity,21,0,0,0,35.33,Medium,0,11,1,Low
24521409,2026-05-11 21:26:41,Evening,Gaming,55,0,1,0,32.82,High,0,9,1,High
24521409,2026-05-11 23:34:41,Night,Entertainment,40,0,0,1,30.68,Medium,1,15,10,High
24521409,2026-05-12 01:51:41,Night,Entertainment,39,0,0,1,28.4,Medium,5,6,12,High
24521409,2026-05-12 03:10:41,Night,Gaming,60,0,0,1,27.08,Medium,3,10,8,High
24521409,2026-05-12 04:22:41,Night,Gaming,48,0,0,1,25.88,Low,1,8,5,High
24521409,2026-05-12 07:05:41,Morning,System,6,0,0,0,23.17,Medium,3,3,1,Low
24521409,2026-05-12 08:42:41,Morning,Productivity,1,0,1,0,21.55,Medium,4,8,3,Low
24521409,2026-05-12 11:20:41,Morning,System,8,0,0,0,18.92,Medium,1,2,1,Low
24521409,2026-05-12 13:24:41,Afternoon,Gaming,37,1,0,0,16.85,Medium,3,16,7,High
24521409,2026-05-12 14:56:41,Afternoon,System,13,1,1,0,15.32,High,3,1,1,Low
24521409,2026-05-12 15:17:41,Afternoon,Productivity,12,0,1,0,14.97,High,5,7,1,Low
24521409,2026-05-12 16:05:41,Afternoon,Social,40,1,1,0,14.17,High,3,23,3,High
24521409,2026-05-12 16:40:41,Afternoon,Productivity,14,0,1,0,13.58,Medium,1,7,3,Low
24521409,2026-05-12 17:09:41,Evening,Productivity,28,0,0,0,13.1,High,2,2,6,Low
24521409,2026-05-12 19:58:41,Evening,Productivity,19,0,1,0,10.28,High,5,9,1,Low
24521409,2026-05-12 22:24:41,Night,Gaming,28,0,0,1,7.85,Medium,5,11,1,High
24521409,2026-05-13 00:38:41,Night,Entertainment,5,0,0,1,5.62,Low,0,18,1,Medium
24521409,2026-05-13 01:48:41,Night,Productivity,19,0,0,1,4.45,High,1,7,2,Low
24521409,2026-05-13 02:21:41,Night,Productivity,26,0,0,1,3.9,Low,5,6,2,Low
24521409,2026-05-13 02:56:41,Night,Productivity,28,0,0,1,3.32,Medium,0,1,1,Low
24521409,2026-05-13 03:17:41,Night,Gaming,63,0,0,1,2.97,Low,2,10,7,High
24521409,2026-05-13 05:02:41,Morning,Productivity,19,0,0,0,1.22,Low,3,3,2,Low
24521409,2026-05-13 07:36:41,Morning,Social,36,1,0,0,0.0,Medium,3,7,7,High
24521409,2026-05-13 10:24:41,Morning,Productivity,27,1,1,0,0.0,Medium,3,9,8,Low
24521409,2026-05-13 11:39:41,Morning,Productivity,6,0,0,0,0.0,High,3,1,1,Low
24521409,2026-05-13 13:02:41,Afternoon,Social,37,1,0,0,0.0,Medium,4,14,5,High
24521409,2026-05-13 14:28:41,Afternoon,Productivity,18,1,0,0,0.0,Low,3,1,1,Low
24521409,2026-05-13 16:41:41,Afternoon,Productivity,15,1,1,0,0.0,Medium,0,8,1,Low
24521409,2026-05-13 19:39:41,Evening,Gaming,69,0,1,0,0.0,High,5,12,6,High
24521409,2026-05-13 20:01:41,Evening,Entertainment,33,0,1,0,0.0,High,2,12,11,High
24521409,2026-05-13 21:09:41,Evening,Productivity,36,0,1,0,0.0,Medium,4,4,4,Medium
24521409,2026-05-13 22:23:41,Night,Productivity,18,0,0,1,0.0,High,5,11,4,Low
24521409,2026-05-13 23:08:41,Night,Productivity,31,0,0,1,0.0,High,5,9,5,Low
24521409,2026-05-13 23:28:41,Night,Gaming,45,0,0,1,0.0,Medium,4,9,5,High
24521409,2026-05-14 01:11:41,Night,Productivity,26,0,0,1,0.0,Low,2,2,4,Low
24521409,2026-05-14 02:44:41,Night,Productivity,30,0,0,1,0.0,Low,1,9,6,Low
24521409,2026-05-14 05:12:41,Morning,Entertainment,43,0,0,0,0.0,Medium,4,3,6,High
24521409,2026-05-14 06:31:41,Morning,Entertainment,50,0,0,0,0.0,Medium,3,6,3,High
24521409,2026-05-14 07:56:41,Morning,Gaming,59,1,0,0,0.0,High,1,13,7,High
24521409,2026-05-14 09:03:41,Morning,Productivity,34,0,0,0,0.0,High,2,5,4,Low
24521409,2026-05-14 09:36:41,Morning,Social,23,1,1,0,0.0,Medium,5,16,3,High
24521409,2026-05-14 10:53:41,Morning,System,16,0,1,0,0.0,Low,0,2,1,Low
24521409,2026-05-14 13:41:41,Afternoon,Productivity,39,0,0,0,0.0,Low,0,7,7,Low
24521409,2026-05-14 16:33:41,Afternoon,Entertainment,50,1,1,0,0.0,Low,0,16,6,High
24521409,2026-05-14 18:00:41,Evening,System,7,0,0,0,0.0,Low,1,6,7,Low
24521409,2026-05-14 20:27:41,Evening,Social,23,0,1,0,0.0,Medium,5,29,7,High
24521409,2026-05-14 22:55:41,Night,Productivity,20,0,0,1,0.0,High,1,5,1,Low
24525506,2026-05-08 01:30:41,Night,Productivity,14,0,0,1,152.75,High,2,3,1,Low
24525506,2026-05-08 01:48:41,Night,Productivity,40,0,0,1,152.45,Low,3,4,7,Low
24525506,2026-05-08 02:58:41,Night,Entertainment,44,0,0,1,151.28,Low,5,15,2,High
24525506,2026-05-08 04:42:41,Night,Gaming,63,0,0,1,149.55,High,2,13,8,High
24525506,2026-05-08 05:07:41,Morning,Gaming,47,0,0,0,149.13,Low,0,8,4,Low
24525506,2026-05-08 07:13:41,Morning,Social,20,1,0,0,147.03,High,0,27,6,High
24525506,2026-05-08 08:48:41,Morning,Social,17,1,1,0,145.45,High,1,22,1,High
24525506,2026-05-08 11:28:41,Morning,Social,33,0,0,0,142.78,High,2,9,8,High
24525506,2026-05-08 12:15:41,Afternoon,Entertainment,32,0,0,0,142.0,Medium,2,9,4,Medium
24525506,2026-05-08 13:02:41,Afternoon,Productivity,31,0,0,0,141.22,Low,0,12,3,Low
24525506,2026-05-08 13:45:41,Afternoon,Entertainment,17,1,0,0,140.5,Medium,1,7,2,High
24525506,2026-05-08 15:02:41,Afternoon,Entertainment,34,1,1,0,139.22,Medium,2,12,4,High
24525506,2026-05-08 17:23:41,Evening,Productivity,50,0,0,0,136.87,Medium,1,5,4,Low
24525506,2026-05-08 20:10:41,Evening,Social,40,0,0,0,134.08,High,4,32,6,High
24525506,2026-05-08 21:37:41,Evening,Gaming,71,0,0,0,132.63,Low,3,15,11,Medium
24525506,2026-05-08 23:29:41,Night,Gaming,81,0,0,1,130.77,Low,5,16,14,High
24525506,2026-05-09 01:32:41,Night,Social,27,0,0,1,128.72,Low,4,20,6,Medium
24525506,2026-05-09 02:19:41,Night,Social,35,0,0,1,127.93,Medium,5,16,4,High
24525506,2026-05-09 04:58:41,Night,Gaming,63,0,0,1,125.28,Medium,4,11,3,High
24525506,2026-05-09 07:23:41,Morning,Gaming,72,0,0,0,122.87,Medium,3,20,8,High
24525506,2026-05-09 07:58:41,Morning,Entertainment,49,0,0,0,122.28,Low,5,20,5,Medium
24525506,2026-05-09 10:54:41,Morning,System,13,0,0,0,119.35,High,3,4,1,Low
24525506,2026-05-09 12:59:41,Afternoon,System,15,0,0,0,117.27,Medium,3,1,2,Low
24525506,2026-05-09 14:51:41,Afternoon,Productivity,36,0,0,0,115.4,Low,3,2,2,Low
24525506,2026-05-09 16:21:41,Afternoon,Productivity,40,0,1,0,113.9,Low,3,6,3,Low
24525506,2026-05-09 16:48:41,Afternoon,Social,8,0,1,0,113.45,Medium,5,3,2,High
24525506,2026-05-09 18:33:41,Evening,Entertainment,24,0,0,0,111.7,Medium,4,14,3,Medium
24525506,2026-05-09 21:06:41,Evening,Productivity,12,0,0,0,109.15,Medium,5,8,3,Low
24525506,2026-05-09 23:04:41,Night,Entertainment,81,0,0,1,107.18,High,2,8,5,High
24525506,2026-05-10 01:47:41,Night,Social,29,0,0,1,104.47,Low,4,21,2,High
24525506,2026-05-10 02:51:41,Night,Social,11,0,0,1,103.4,Medium,0,28,1,Medium
24525506,2026-05-10 04:30:41,Night,Entertainment,51,0,0,1,101.75,Medium,2,14,8,High
24525506,2026-05-10 07:06:41,Morning,Social,39,0,0,0,99.15,Medium,4,29,5,High
24525506,2026-05-10 09:55:41,Morning,Productivity,24,0,0,0,96.33,Low,5,10,1,Medium
24525506,2026-05-10 11:13:41,Morning,Social,29,0,0,0,95.03,Medium,2,9,4,Low
24525506,2026-05-10 12:49:41,Afternoon,Gaming,76,0,0,0,93.43,Low,1,9,8,Low
24525506,2026-05-10 15:23:41,Afternoon,Productivity,20,0,1,0,90.87,High,0,0,1,Low
24525506,2026-05-10 15:56:41,Afternoon,Entertainment,60,0,1,0,90.32,Medium,2,15,4,High
24525506,2026-05-10 16:46:41,Afternoon,Gaming,59,0,0,0,89.48,High,4,6,11,High
24525506,2026-05-10 19:28:41,Evening,Social,26,0,1,0,86.78,Low,4,19,3,Medium
24525506,2026-05-10 19:50:41,Evening,Productivity,22,0,1,0,86.42,Medium,3,4,1,Low
24525506,2026-05-10 22:35:41,Night,Gaming,95,0,0,1,83.67,Medium,4,15,10,High
24525506,2026-05-10 23:14:41,Night,Social,50,0,0,1,83.02,Low,5,26,6,High
24525506,2026-05-11 01:55:41,Night,Gaming,73,0,0,1,80.33,Medium,0,13,11,High
24525506,2026-05-11 03:01:41,Night,Gaming,80,0,0,1,79.23,Medium,0,9,13,High
24525506,2026-05-11 04:03:41,Night,Social,61,0,0,1,78.2,Low,1,16,12,High
24525506,2026-05-11 05:18:41,Morning,Gaming,46,0,0,0,76.95,Low,3,8,4,Medium
24525506,2026-05-11 07:18:41,Morning,Productivity,30,0,0,0,74.95,Medium,5,4,3,Medium
24525506,2026-05-11 08:58:41,Morning,System,18,1,1,0,73.28,High,2,4,2,Low
24525506,2026-05-11 11:35:41,Morning,Productivity,31,0,0,0,70.67,Medium,5,3,3,Low
24525506,2026-05-11 13:31:41,Afternoon,Productivity,28,0,0,0,68.73,Low,4,8,2,Low
24525506,2026-05-11 15:38:41,Afternoon,System,3,1,0,0,66.62,Low,4,0,1,Low
24525506,2026-05-11 17:30:41,Evening,Gaming,93,0,0,0,64.75,Medium,2,10,14,Medium
24525506,2026-05-11 19:06:41,Evening,Social,27,0,0,0,63.15,Low,5,25,5,Low
24525506,2026-05-11 19:45:41,Evening,Gaming,89,0,1,0,62.5,High,2,17,9,High
24525506,2026-05-11 22:40:41,Night,Entertainment,54,0,0,1,59.58,Low,1,14,5,Medium
24525506,2026-05-11 23:55:41,Night,Social,29,0,0,1,58.33,Medium,5,27,5,High
24525506,2026-05-12 00:24:41,Night,Social,41,0,0,1,57.85,High,3,0,8,Medium
24525506,2026-05-12 02:32:41,Night,Entertainment,37,0,0,1,55.72,High,3,6,1,High
24525506,2026-05-12 05:06:41,Morning,Productivity,20,0,0,0,53.15,High,2,7,2,Low
24525506,2026-05-12 07:56:41,Morning,Productivity,25,1,0,0,50.32,Medium,2,2,6,Low
24525506,2026-05-12 10:37:41,Morning,Productivity,9,1,1,0,47.63,Low,2,4,5,Low
24525506,2026-05-12 11:06:41,Morning,Productivity,21,0,0,0,47.15,High,0,5,1,Low
24525506,2026-05-12 13:53:41,Afternoon,Productivity,28,1,0,0,44.37,High,5,7,6,Low
24525506,2026-05-12 14:13:41,Afternoon,System,8,1,1,0,44.03,Medium,1,3,1,Low
24525506,2026-05-12 14:38:41,Afternoon,System,13,0,0,0,43.62,Low,5,3,3,Low
24525506,2026-05-12 15:32:41,Afternoon,Entertainment,46,0,1,0,42.72,Medium,2,2,8,High
24525506,2026-05-12 17:17:41,Evening,Entertainment,64,0,0,0,40.97,Medium,2,0,14,High
24525506,2026-05-12 20:00:41,Evening,Social,46,0,1,0,38.25,Medium,2,13,7,High
24525506,2026-05-12 20:34:41,Evening,Productivity,18,0,1,0,37.68,Medium,5,11,1,Low
24525506,2026-05-12 23:18:41,Night,Entertainment,62,0,0,1,34.95,Medium,4,15,8,High
